,layer,type,coords.x1,coords.x2,coords.x3
325,C,Lithic,7.9520001411,2.868999958,-1.0700000525
326,C,Bone,7.6770000458,2.8269999027,-1.1150000095
350,C,Bone,8.5816001892,2.4921000004,-0.866599977
351,C,Bone,8.5852003098,2.4114000797,-0.9986000061
352,C,Bone,8.6843004227,2.5151000023,-0.9761000276
353,C,Lithic,8.4839000702,2.4716000557,-1.0232000351
354,C,Bone,8.7533998489,2.3145999908,-1.0013999939
355,C,Tooth,8.8756999969,2.361000061,-1.0002000332
356,C,Bone,8.894900322,2.3452999592,-0.9987999797
357,C,Bone,8.910200119,2.2098999023,-1.0413999557
358,C,Bone,8.5657997131,2.4964001179,-1.0198999643
359,C,Bone,8.9326000214,2.2302000523,-1.3028000593
360,C,Bone,8.6660003662,2.5840001106,-1.1100000143
361,C,Bone,8.4879999161,2.6080000401,-1.128000021
362,C,Bone,4.3559999466,2.9960000515,-1.2380000353
365,C,Lithic,6.1199998856,2.7200000286,-1.2300000191
366,C,Bone,6.2199997902,2.2200000286,-1.2300000191
367,C,Bone,6.1399998665,2.5999999046,-1.2300000191
368,C,Tooth,6.2100000381,2.4400000572,-1.2200000286
369,C,Tooth,6.5500001907,2.3800001144,-1.2799999714
370,C,Bone,6.2300000191,2.6500000954,-1.2200000286
371,C,Bone,6.1999998093,2.3099999428,-1.2799999714
372,C,Bone,6,2.4000000954,-1.2799999714
373,C,Bone,6.1500000954,2.2999999523,-1.3200000525
374,C,Bone,6.0999999046,2.4800000191,-1.3099999428
375,C,Bone,6.0599999428,2.4500000477,-1.3400000334
381,C,Bone,7.25,2.4400000572,-1.2999999523
382,C,Bone,7.6909999847,2.7980000973,-1.1569999456
383,C,Bone,7.5460000038,2.8389999866,-1.1560000181
384,C,Bone,7.609000206,2.8800001144,-1.1619999409
385,C,Lithic,7.4889998436,2.7300000191,-1.1699999571
386,C,Bone,7.6820001602,2.868999958,-1.1829999685
387,C,Bone,7.8759999275,2.6760001183,-1.2489999533
388,C,Bone,7.5170001984,2.8299999237,-1.2170000076
389,C,Bone,7.5869998932,2.7929999828,-1.2389999628
390,C,Bone,7.2940001488,2.8380000591,-1.2419999838
391,C,Bone,7.4400000572,2.8740000725,-1.2350000143
395,C,Bone,8.410200119,2.3078000546,-1.2120000124
396,C,Tooth,8.6138000488,2.3041000366,-1.2388999462
397,C,Bone,8.0389995575,2.2960000038,-1.1540000439
398,C,Bone,8.0059995651,2.3020000458,-1.2059999704
399,C,Bone,8.6820001602,2.5989999771,-1.1699999571
400,C,Bone,8.595000267,2.5409998894,-1.1870000362
401,C,Bone,8.3640003204,2.5490000248,-1.2009999752
402,C,Bone,8.1470003128,2.7829999924,-1.2000000477
403,C,Bone,8.5620002747,2.6489999294,-1.2009999752
404,C,Bone,8.2919998169,2.7820000648,-1.1870000362
405,C,Bone,8.2290000916,2.6940000057,-1.2300000191
406,C,Tooth,8.2150001526,2.6510000229,-1.2280000448
413,C,Bone,4.368999958,2.9149999619,-1.3059999943
424,C,Lithic,5.4099998474,2.4800000191,-1.2799999714
425,C,Bone,5.8000001907,2.3199999332,-1.2699999809
426,C,Bone,5.5199999809,2.5199999809,-1.2699999809
427,C,Bone,5.0500001907,2.5799999237,-1.2799999714
428,C,Bone,5.3000001907,2.5299999714,-1.3400000334
429,C,Tooth,5.5100002289,2.5899999142,-1.2999999523
430,C,Tooth,5.7899999619,2.3099999428,-1.2400000095
431,C,Bone,5.9000000954,2.2699999809,-1.3300000429
432,C,Bone,5.9299998283,2.8900001049,-1.2599999905
433,C,Bone,5.0999999046,2.75,-1.2899999619
434,C,Bone,5.1599998474,2.7799999714,-1.3200000525
442,C,Bone,6.0700001717,2.25,-1.2699999809
443,C,Bone,6.4600000381,2.1099998951,-1.25
444,C,Lithic,6.5700001717,2.2400000095,-1.2999999523
445,C,Bone,6.5,2.2200000286,-1.3099999428
446,C,Bone,6.4200000763,2.1500000954,-1.2200000286
447,C,Bone,6.4000000954,2.2999999523,-1.2000000477
448,C,Bone,6.0199999809,2.4000000954,-1.25
449,C,Bone,6.3299999237,2.6199998856,-1.2999999523
450,C,Lithic,6.8880000114,2.625,-1.2979999781
454,C,Bone,7.1399998665,2.2300000191,-1.3700000048
455,C,Lithic,7.5599999428,2.1700000763,-1.2400000095
456,C,Bone,7.2199997902,2.4500000477,-1.3999999762
457,C,Bone,7.4400000572,2.3399999142,-1.3300000429
458,C,Bone,7.7010002136,2.6730000973,-1.3309999704
459,C,Bone,7.7329998016,2.7300000191,-1.3430000544
460,C,Lithic,7.6599998474,2.7829999924,-1.2740000486
461,C,Bone,7.5869998932,2.8320000172,-1.2970000505
462,C,Tooth,7.4699997902,2.8289999962,-1.2730000019
463,C,Lithic,7.4619998932,2.7780001163,-1.3090000153
464,C,Bone,7.5240001678,2.888999939,-1.32099998
476,C,Bone,8.36439991,2.2623999119,-1.2876000404
477,C,Bone,8.5883998871,2.0994999409,-1.3107000589
478,C,Bone,8.4219999313,2.1380000114,-1.3389999866
479,C,Bone,8.5900001526,2.118999958,-1.3589999676
480,C,Bone,8.8459997177,2.2130000591,-1.32099998
481,C,Bone,8.0439996719,2.2490000725,-1.2599999905
482,C,Bone,8.0810003281,2.2479999065,-1.2760000229
483,C,Bone,8.1850004196,2.7920000553,-1.2569999695
484,C,Bone,8.1899995804,2.7999999523,-1.2710000277
485,C,Bone,8.1260004044,2.6719999313,-1.2940000296
