,layer,type,coords.x1,coords.x2,coords.x3
1198,D,Bone,3.7709999084,1.8150000572,-2.6879999638
1202,D,Bone,3.7980000973,1.8660000563,-2.7509999275
1203,D,Bone,3.5739998817,1.8849999905,-2.7929999828
1204,D,Bone,3.5729999542,1.8819999695,-2.8350000381
1205,D,Bone,3.9990000725,1.9249999523,-2.8770000935
1206,D,Bone,3.6800000668,1.8960000277,-2.8840000629
1207,D,Bone,3.9079999924,1.8660000563,-2.9030001163
1214,D,Bone,4.1859998703,1.8559999466,-2.6610000134
1215,D,Tooth,4.2140002251,1.8990000486,-2.7090001106
1216,D,Bone,4.2309999466,1.9279999733,-2.6879999638
1219,D,Bone,4.2170000076,1.9409999847,-2.7599999905
1220,D,Bone,4.0739998817,1.9160000086,-2.8150000572
1221,D,Bone,4.0859999657,1.9190000296,-2.9010000229
1222,D,Bone,4.1539998055,1.9160000086,-2.8910000324
1223,D,Bone,4.2189998627,1.9069999456,-2.8680000305
1233,D,Bone,6.375,1.4739999771,-2.618999958
1236,D,Bone,7.1100001335,1.8439999819,-2.3050000668
1237,D,Bone,7.2220001221,1.8389999866,-2.3099999428
1238,D,Bone,7.242000103,1.9839999676,-2.3450000286
1239,D,Bone,7.0999999046,1.9329999685,-2.3239998817
1240,D,Bone,7.5549998283,1.621999979,-2.3020000458
1241,D,Lithic,4.0329999924,2.9539999962,-1.5140000582
1243,D,Bone,3.6019999981,2.8900001049,-1.6289999485
1244,D,Bone,3.5350000858,2.9200000763,-1.6619999409
1245,D,Bone,3.5639998913,2.9590001106,-1.6419999599
1246,D,Bone,3.5859999657,2.9119999409,-1.6339999437
1247,D,Bone,3.7249999046,2.760999918,-1.6369999647
1258,D,Bone,3.361000061,2.7550001144,-1.7239999771
1259,D,Bone,3.4179999828,2.7569999695,-1.7079999447
1260,D,Bone,3.4100000858,2.7569999695,-1.7220000029
1267,D,Bone,4.3660001755,2.7620000839,-1.7000000477
1268,D,Bone,4.138999939,2.5559999943,-1.6809999943
1269,D,Bone,4.1500000954,2.5810000896,-1.6900000572
1270,D,Bone,4.1079998016,2.5409998894,-1.7300000191
1271,D,Bone,4.131000042,2.638999939,-1.67900002
1272,D,Bone,4.0910000801,2.5510001183,-1.7250000238
1273,D,Bone,4.140999794,2.5209999084,-1.7139999866
1274,D,Bone,6.875,2.4309999943,-2.7479999065
1287,D,Bone,3.1459999084,2.7369999886,-1.7819999456
1288,D,Bone,3.3980000019,2.7880001068,-1.7640000582
1289,D,Bone,3.5899999142,2.8450000286,-1.8159999847
1290,D,Bone,3.7509999275,2.9349999428,-1.8190000057
1291,D,Bone,3.8220000267,2.760999918,-1.7749999762
1292,D,Bone,3.5599999428,2.9489998817,-1.8450000286
1293,D,Bone,3.9900000095,2.9070000648,-1.7810000181
1294,D,Bone,3.6440000534,2.9119999409,-1.7760000229
1295,D,Bone,3.6019999981,2.9349999428,-1.7960000038
1296,D,Bone,3.4260001183,2.9460000992,-1.7890000343
1299,D,Bone,4.0359997749,2.8919999599,-1.8259999752
1302,D,Bone,6.3169999123,2.5929999352,-1.8159999847
1303,D,Bone,6.3249998093,2.1050000191,-1.8220000267
1304,D,Bone,6.9140000343,2.3840000629,-1.8079999685
1305,D,Bone,6.9149999619,2.4900000095,-1.8029999733
1306,D,Bone,6.9450001717,2.1040000916,-1.7419999838
1307,D,Bone,6.2300000191,2.0980000496,-1.8519999981
1322,D,Tooth,7.373000145,2.132999897,-1.7940000296
1323,D,Bone,7.7239999771,2.3450000286,-1.753000021
1324,D,Bone,7.4660000801,2.2980000973,-1.8190000057
1325,D,Tooth,7.0419998169,2.0429999828,-1.8170000315
1326,D,Bone,7.5359997749,2.3199999332,-1.8229999542
1327,D,Bone,7.6430001259,2.1949999332,-1.8309999704
1328,D,Bone,7.6620001793,2.2019999027,-1.8409999609
1329,D,Bone,7.3289999962,2.493999958,-1.7589999437
1330,D,Bone,7.6380000114,2.2219998837,-1.8489999771
1331,D,Bone,7.6719999313,2.2309999466,-1.8480000496
1332,D,Bone,7.2069997787,2.6500000954,-1.7840000391
1333,D,Bone,7.3709998131,2.3340001106,-1.8259999752
1334,D,Bone,7.007999897,2.0150001049,-1.8589999676
1337,D,Lithic,6.8979997635,1.9190000296,-1.8550000191
1342,D,Bone,8.5329999924,1.7899999619,-1.7769999504
1343,D,Bone,8.5659999847,1.682000041,-1.8190000057
1344,D,Bone,8.4630002975,1.756000042,-1.7910000086
1345,D,Bone,8.5920000076,1.6009999514,-1.8550000191
1346,D,Tooth,8.4160003662,1.9160000086,-1.8059999943
1347,D,Bone,8.4790000916,1.8730000257,-1.7940000296
1348,D,Bone,8.4440002441,1.9279999733,-1.8150000572
1361,D,Bone,3.8369998932,2.7460000515,-1.8680000305
1362,D,Bone,3.3380000591,2.8210000992,-1.9240000248
1363,D,Bone,7.0560002327,2.3059999943,-2.256000042
1364,D,Bone,7.0560002327,2.3059999943,-2.256000042
1365,D,Bone,7.0560002327,2.3059999943,-2.256000042
1366,D,Bone,7.0560002327,2.3059999943,-2.256000042
1367,D,Bone,3.5629999638,2.7379999161,-1.9340000153
1368,D,Bone,3.6029999256,2.9210000038,-1.9450000525
1369,D,Bone,3.4679999352,2.8239998817,-1.9349999428
1372,D,Bone,4.521999836,2.5150001049,-1.8860000372
1386,D,Tooth,6.2680001259,2.1670000553,-1.8730000257
1387,D,Bone,6.2550001144,2.378000021,-1.8650000095
1388,D,Bone,6.5269999504,2.1540000439,-1.8880000114
1389,D,Tooth,6.6100001335,2.0950000286,-1.8869999647
1390,D,Bone,6.2309999466,2.368999958,-1.8569999933
1391,D,Bone,6.2179999352,2.0529999733,-1.824000001
1392,D,Bone,6.4330000877,2.013999939,-1.8890000582
1393,D,Tooth,6.3579998016,2.368999958,-1.8899999857
1394,D,Bone,6.9270000458,2.5569999218,-1.8940000534
1395,D,Lithic,6.8159999847,2.3919999599,-1.8960000277
1396,D,Bone,6.9450001717,2.2409999371,-1.8969999552
1397,D,Bone,6.9089999199,2.5390000343,-1.875
1398,D,Bone,6.9699997902,2.3800001144,-1.9079999924
1399,D,Bone,6.9619998932,2.3919999599,-1.9069999456
1400,D,Bone,6.978000164,2.385999918,-1.8999999762
1401,D,Bone,6.5089998245,2.5889999866,-1.868999958
1402,D,Bone,6.9650001526,2.4389998913,-1.9069999456
1403,D,Tooth,6.9850001335,2.3150000572,-1.9129999876
1404,D,Bone,6.8470001221,2.3310000896,-1.9170000553
1405,D,Lithic,6.9060001373,2.2939999104,-1.9340000153
1406,D,Bone,6.5089998245,2.1960000992,-1.9060000181
1407,D,Bone,6.2239999771,2.1059999466,-1.8789999485
1408,D,Bone,6.2389998436,2.0469999313,-1.9019999504
1409,D,Tooth,6.109000206,2.1289999485,-1.868999958
1410,D,Bone,6.3119997978,2.0940001011,-1.9179999828
1411,D,Bone,6.2430000305,2.013999939,-1.925999999
1412,D,Bone,6.1630001068,2.3510000706,-1.8830000162
1413,D,Bone,6.5510001183,2.5610001087,-1.9069999456
1414,D,Lithic,6.1710000038,2.1229999065,-1.9190000296
