,id,layer,abrasion,oxid,weat,taphorecord,coords.x1,coords.x2,coords.x3
1,170,A,NA,NA,NA,NA,8.1099996567,2.7699999809,-0.0700000003
2,171,A,NA,NA,NA,NA,8.0100002289,2.8099999428,-0.0599999987
3,668,A,3,7,3,2,8.8409996033,2.486000061,-0.4160000086
4,650,A,3,3,3,2,8.7419996262,2.4590001106,-0.6000000238
5,669,A,NA,NA,NA,NA,8.7569999695,2.5929999352,-0.5
6,154,A,2,8,3,3,6.3899998665,2.4700000286,-0.6700000167
7,155,A,2,7,2,1,6.5700001717,2.5499999523,-0.6899999976
8,670,A,2,3,2,3,8.0050001144,2.7230000496,-0.6299999952
9,157,A,1,7,2,3,5.5100002289,2.2000000477,-0.8000000119
10,159,A,2,8,2,3,5.8499999046,2.3499999046,-0.7400000095
11,160,A,2,8,2,3,5.3000001907,2,-0.7799999714
12,161,A,2,5,2,3,5.5399999619,2.3699998856,-0.8000000119
13,162,A,2,7,2,3,5.4200000763,2.5099999905,-0.7799999714
14,156,A,2,7,3,3,5.5700001717,2.5699999332,-0.7599999905
15,163,A,2,7,2,3,7.0700001717,2.1199998856,-0.7900000215
16,164,A,NA,NA,NA,NA,7.1300001144,2.2999999523,-0.7699999809
17,165,A,NA,NA,NA,NA,7.2899999619,2.3499999046,-0.7599999905
18,166,A,2,6,3,3,7.3400001526,2.3299999237,-0.7599999905
19,167,A,NA,NA,NA,NA,7.3800001144,2.3800001144,-0.75
20,168,A,NA,NA,NA,NA,7.4299998283,2.4400000572,-0.7400000095
21,169,A,3,5,3,2,7.3800001144,2.3599998951,-0.8000000119
22,665,A,2,8,2,3,3.6400001049,2.9100000858,-0.8799999952
23,664,A,2,7,3,3,4.6100001335,2.9600000381,-0.8999999762
24,666,A,2,7,2,3,3.8299999237,2.9400000572,-0.9200000167
25,667,A,2,7,2,3,3.7400000095,2.9400000572,-0.9800000191
26,660,A,2,5,3,3,4.4600000381,2.9300000668,-0.9200000167
27,662,A,2,7,2,3,4.4600000381,2.9000000954,-0.9399999976
28,661,A,2,7,3,3,4.5,2.9000000954,-0.9800000191
29,659,A,NA,NA,NA,NA,4.4200000763,2.9700000286,-0.9700000286
30,663,A,3,6,2,2,4.6500000954,2.9300000668,-0.9900000095
31,652,A,2,7,2,3,4.6700000763,2.9100000858,-1.0199999809
32,651,A,2,5,2,3,4.3899998665,2.9200000763,-1.0099999905
33,654,A,3,7,2,2,4.6900000572,2.9200000763,-1.0399999619
34,649,A,2,8,2,3,4.2300000191,2.8900001049,-1.0499999523
35,655,A,NA,NA,NA,NA,4.1599998474,2.9600000381,-1.0299999714
36,653,A,4,4,3,2,4.7699999809,2.9300000668,-1.0800000429
37,658,A,2,5,2,3,4.1500000954,3,-1
38,657,A,2,3,2,3,4.1599998474,3,-0.9599999785
39,656,A,3,7,2,2,4.1399998665,2.9000000954,-1.0599999428
40,139,A,1,3,2,3,5.8000001907,2,-0.2899999917
41,140,A,3,6,3,2,5.6999998093,2,-0.3600000143
42,141,A,2,7,2,3,6,2,-0.3899999857
43,142,A,3,7,2,2,5.6100001335,2,-0.4799999893
44,143,A,2,8,2,3,5.6399998665,2,-0.4799999893
45,136,A,3,3,3,2,5.8800001144,2,-0.6299999952
46,137,A,2,7,2,3,5,2,-0.6800000072
47,138,A,3,7,2,2,5.6199998856,2,-0.5899999738
48,144,A,2,3,3,3,6.8499999046,2,-0.3199999928
49,145,A,1,8,2,3,6.0700001717,2,-0.5699999928
50,148,A,2,7,3,3,7.6100001335,2,-0.4900000095
51,149,A,2,7,2,3,7.5599999428,2,-0.400000006
52,150,A,2,7,3,3,7.2199997902,2,-0.5699999928
53,151,A,2,5,3,3,7.2199997902,2,-0.6800000072
54,152,A,NA,NA,NA,NA,7.7600002289,2,-0.5899999738
55,153,A,2,8,2,3,7.8499999046,2,-0.5799999833
56,146,A,2,7,3,3,7.1700000763,2,-0.7599999905
57,147,A,2,5,3,3,7.1500000954,2,-0.7099999785
58,675,B,2,6,2,3,8.9090003967,2.4340000153,-0.5899999738
59,683,B,2,2,2,3,8.6960000992,2.4830000401,-0.6119999886
60,178,B,2,8,2,3,5.0599999428,2.3699998856,-0.8299999833
61,179,B,2,7,2,3,5.4000000954,2.4400000572,-0.8199999928
