,id,layer,patina,coords.x1,coords.x2,coords.x3
26,341,C,Fe-Mn spotted,7.9520001411,2.868999958,-1.0700000525
27,366,C,White,8.4839000702,2.4716000557,-1.0232000351
28,147,C,Absent,6.1199998856,2.7200000286,-1.2300000191
29,342,C,Fe-Mn spotted,7.4889998436,2.7300000191,-1.1699999571
30,149,C,Absent,5.4099998474,2.4800000191,-1.2799999714
31,150,C,Absent,6.5700001717,2.2400000095,-1.2999999523
32,151,C,Absent,6.8880000114,2.625,-1.2979999781
33,197,C,Fe-Mn spotted,7.5599999428,2.1700000763,-1.2400000095
34,344,C,Absent,7.6599998474,2.7829999924,-1.2740000486
35,345,C,Fe-Mn spotted,7.4619998932,2.7780001163,-1.3090000153
36,346,C,White,7.757999897,2.6500000954,-2.3729999065
37,351,C,Fe-Mn covering,7.8569998741,2.6099998951,-1.4099999666
38,2,C,Absent,8.0229997635,2.614000082,-1.3789999485
39,3,C,Fe-Mn spotted,8.0869998932,2.6700000763,-1.4479999542
40,153,C,Absent,3.7890000343,2.760999918,-1.4950000048
41,154,C,Fe-Mn spotted,3.7219998837,2.9100000858,-1.4889999628
42,156,C,Absent,6.7090001106,2.6519999504,-1.5789999962
43,352,C,Fe-Mn covering,7.8140001297,2.5720000267,-1.5210000277
44,354,C,Fe-Mn covering,7.7259998322,2.5639998913,-1.5479999781
45,4,C,Fe-Mn spotted,8.6730003357,2.4100000858,-1.4609999657
46,365,C,Absent,5.2242999077,2.4251000881,-1.5513000488
47,1,C,Absent,7.881000042,2.4739999771,-1.6169999838
48,121,C,Absent,6.5809998512,2.5829999447,-1.6629999876
49,122,C,Absent,7.9470000267,2.1019999981,-1.6480000019
50,5,C,Absent,8.5719995499,2.5280001163,-1.6799999475
51,123,C,Fe-Mn spotted,6.5300002098,2.5409998894,-1.7480000257
52,137,C,Fe-Mn spotted,5.1220002174,2.5380001068,-1.92900002
53,124,C,Absent,6.4200000763,2.1519999504,-1.8669999838
54,6,C,Absent,8.6450004578,2.3880000114,-2.003000021
55,7,C,Absent,8.3999996185,2.2369999886,-2.0980000496
56,348,C,Absent,8.501999855,2.6979999542,-0.9629999995
58,350,C,Fe-Mn spotted,8.6199998856,2.6159999371,-1.0149999857
59,343,C,Fe-Mn covering,8.1319999695,2.8169999123,-0.7419999838
60,127,D,Absent,4.0329999924,2.9539999962,-1.5140000582
61,120,D,Absent,6.8979997635,1.9190000296,-1.8550000191
62,327,D,Absent,6.8159999847,2.3919999599,-1.8960000277
63,328,D,White,6.9060001373,2.2939999104,-1.9340000153
64,129,D,Fe-Mn spotted,6.1710000038,2.1229999065,-1.9190000296
66,134,D,Absent,6.3359999657,2.5399999619,-1.9470000267
67,364,D,Absent,6.0156998634,1.8916000128,-1.9594999552
68,126,D,Fe-Mn covering,8.5109996796,1.4210000038,-2.0120000839
69,131,D,Fe-Mn spotted,5.8189997673,2.0959999561,-2.0729999542
70,119,D,Fe-Mn spotted,5.5199999809,1.8220000267,-2.0940001011
71,125,D,Absent,6.8359999657,1.6410000324,-1.9980000257
72,29,D,Absent,6.8619999886,1.7669999599,-2.0669999123
73,30,D,Absent,6.5929999352,1.6690000296,-2.0899999142
74,32,D,Absent,6.890999794,1.9240000248,-2.131000042
75,31,D,Absent,6.771999836,1.5520000458,-2.1549999714
76,33,D,Absent,6.7039999962,1.8439999819,-2.1370000839
77,133,D,Fe-Mn spotted,4.1339998245,2.8150000572,-2.1789999008
78,347,D,Absent,7.4380002022,2.2079999447,-2.1700000763
79,353,D,Absent,7.3990001678,2.010999918,-2.1840000153
80,128,D,Absent,5.5100002289,1.8940000534,-2.1800000668
82,135,D,Absent,5.6009998322,1.82099998,-2.2279999256
83,36,D,Absent,6.7859997749,1.5939999819,-2.1930000782
84,37,D,Absent,7.6579999924,1.6510000229,-2.1770000458
85,309,D,Absent,7.4140000343,1.7269999981,-2.2130000591
86,355,D,Absent,7.0549998283,2.2850000858,-2.2550001144
87,136,D,Absent,5.896999836,1.9409999847,-2.2479999065
89,359,D,Absent,6.1810002327,2.0610001087,-2.3629999161
90,360,D,Fe-Mn spotted,6.3480000496,2.117000103,-2.3949999809
91,9,D,Absent,6.3239998817,1.9650000334,-2.4270000458
92,10,D,Absent,6.3150000572,1.9099999666,-2.4200000763
93,43,D,Absent,6.4510002136,1.6419999599,-2.3599998951
94,42,D,Absent,6.4559998512,1.6549999714,-2.368999958
95,13,D,Absent,7.1820001602,1.7380000353,-2.3959999084
96,39,D,Absent,8.6829996109,1.2860000134,-2.4200000763
97,41,D,Absent,8.8900003433,1.2189999819,-2.4470000267
98,40,D,Fe-Mn covering,8.6969995499,1.3320000172,-2.4530000687
99,44,D,Fe-Mn spotted,5.1380000114,2.3220000267,-2.5460000038
100,361,D,Fe-Mn covering,5.2829999924,2.5880000591,-2.4630000591
101,14,D,Absent,7.376999855,1.692999959,-2.4660000801
102,46,D,Absent,8.611000061,1.2230000496,-2.486000061
103,70,D,Fe-Mn spotted,8.7749996185,1.2599999905,-2.4619998932
104,45,D,Absent,8.2309999466,1.42900002,-2.4700000286
105,48,D,Absent,8.4890003204,1.121999979,-2.5090000629
106,49,D,Fe-Mn covering,8.3360004425,1.2790000439,-2.503000021
107,47,D,Absent,8.3690004349,1.3259999752,-2.5250000954
108,50,D,Absent,8.5710000992,1.1150000095,-2.5390000343
109,51,D,Fe-Mn spotted,8.3699998856,1.3990000486,-2.5439999104
110,53,D,Fe-Mn covering,8.4259996414,0.9950000048,-2.4930000305
111,52,D,Fe-Mn spotted,8.3940000534,0.9720000029,-2.4930000305
112,54,D,Fe-Mn spotted,8.2720003128,0.8970000148,-2.5329999924
113,60,D,Absent,3.7290000916,2.114000082,-2.6349999905
114,56,D,Fe-Mn spotted,5.3340001106,2.0769999027,-2.5650000572
115,55,D,Fe-Mn covering,5.1370000839,2.3910000324,-2.631000042
116,38,D,Absent,5.6609997749,1.9739999771,-2.5940001011
117,59,D,Fe-Mn spotted,8.3310003281,1.2489999533,-2.5889999866
118,58,D,Fe-Mn covering,8.6470003128,1.2569999695,-2.5859999657
119,65,D,Fe-Mn spotted,8.2270002365,1.0390000343,-2.611000061
120,68,D,Fe-Mn covering,8.1899995804,1.3350000381,-2.5680000782
121,69,D,Absent,8.8470001221,1.1490000486,-2.625
122,66,D,Fe-Mn spotted,8.1829996109,1.375,-2.6150000095
123,61,D,Fe-Mn covering,8.0419998169,1.317999959,-2.5969998837
124,57,D,Fe-Mn spotted,8.9029998779,1.128000021,-2.6180000305
125,63,D,Absent,8.0039997101,0.8999999762,-2.5480000973
126,64,D,Fe-Mn covering,8.2930002213,0.9430000186,-2.5859999657
